id,zonepolygon
105137,"POLYGON ((-123.01714020782394 45.52047981856588, -123.020573435363 45.53298705698633, -123.10709076934738 45.540682436871435, -123.15172272735519 45.54260611729352, -123.185368357238 45.558954743427385, -123.18330842071457 45.52288527269631, -123.14073639923019 45.505563707462976, -123.0700119119255 45.499307387547844, -123.01714020782394 45.52047981856588))"
105136,"POLYGON ((-122.81125084690572 45.37294697918538, -122.86000267796041 45.381146522232655, -122.88266197971822 45.34882378495721, -122.83597008518697 45.329517824106304, -122.81811730198385 45.34978891020493, -122.81125084690572 45.37294697918538))"
105134,"POLYGON ((-123.1559096274006 45.23412403292155, -123.1998549399006 45.25104554065892, -123.25272664400217 45.222517800393426, -123.26508626314279 45.199298225762554, -123.23350056978342 45.177037238168175, -123.1559096274006 45.1784893070839, -123.1174574789631 45.2041364188701, -123.1559096274006 45.23412403292155))"
105133,"POLYGON ((-123.22558048148741 44.592838569857236, -123.2688391484796 44.616304378166745, -123.31621768851866 44.59577231426737, -123.31072452445616 44.551750597138636, -123.26952579398741 44.5174884456397, -123.22146060844054 44.53609040057103, -123.22558048148741 44.592838569857236))"
105132,"POLYGON ((-123.04424704985516 44.70490032842367, -123.1396907754411 44.699043720727865, -123.14724387602703 44.640933626259994, -123.12115134673016 44.576407215558575, -123.05592002348797 44.57983087056999, -123.04424704985516 44.70490032842367))"
105138,"POLYGON ((-122.55888751588644 45.37935822803535, -122.63510516725363 45.38056398104439, -122.66257098756613 45.34100187237553, -122.622745548113 45.31082924813153, -122.55854419313253 45.3103463555178, -122.55888751588644 45.37935822803535))"
61416,"POLYGON ((-122.6861903507846 45.523112367279474, -122.66541932417327 45.52341304060086, -122.66696427656585 45.5192034678699, -122.66911004377776 45.512708080674734, -122.66739343000823 45.50958040462853, -122.67134164167815 45.50723453353219, -122.6740882237094 45.505129181359166, -122.68138383222991 45.50585102526032, -122.6887652714389 45.511204411961806, -122.68936608625823 45.51457257408542, -122.68636201216155 45.51962443931623, -122.68541787458831 45.52172924930377, -122.6861903507846 45.523112367279474))"
105135,"POLYGON ((-122.92001767361761 45.316164781658976, -122.97838254178167 45.33740598333853, -123.02232785428167 45.30771436249189, -123.02782101834417 45.281872409946736, -123.02576108182073 45.26206032644112, -122.98250241482855 45.26351022560157, -122.93409390652776 45.28791130360111, -122.92001767361761 45.316164781658976))"
104979,"POLYGON ((-122.52305540291049 45.48803780942427, -122.42692503181674 45.457883417699705, -122.37817320076205 45.49706293198145, -122.38315138069369 45.55563087608474, -122.5263169690726 45.56584695689725, -122.52305540291049 45.48803780942427))"
104978,"POLYGON ((-122.68454172727229 45.48761406460671, -122.62806513425471 45.43114374017142, -122.50567057248713 45.42066221602572, -122.52369501706721 45.487012333819756, -122.68454172727229 45.48761406460671))"
104976,"POLYGON ((-122.69602393115268 45.501213206604056, -122.75576209033237 45.57912428989215, -123.00329779589877 45.548718149137514, -123.00844763720737 45.513604437801135, -122.81927679980502 45.42066395891624, -122.6864108940433 45.48893959049348, -122.69602393115268 45.501213206604056))"
104980,"POLYGON ((-122.64590144149516 45.608980417608485, -122.587879896085 45.60267555105574, -122.43638873092387 45.57204183365844, -122.39261507980082 45.58934292880938, -122.52136111251566 45.62609005481248, -122.56084322921488 45.63875382644157, -122.6387774943516 45.64787477029564, -122.66941905013773 45.65789409531377, -122.70023226730082 45.66689196098864, -122.73190379134867 45.644634605043294, -122.64590144149516 45.608980417608485))"
104977,"POLYGON ((-122.68641279748321 45.48755535962577, -122.81882727646574 45.41998491856359, -122.72475684189543 45.37936521487658, -122.62896979355558 45.430587035876485, -122.68641279748321 45.48755535962577))"
104982,"POLYGON ((-123.00313918296636 45.03477784624052, -123.02751509849371 45.036233538406115, -123.11540572349371 44.960245510160036, -123.12295882407965 44.89552225699361, -123.01378218833746 44.83712268381073, -122.92726485435308 44.83712268381073, -122.87679640952886 44.90670874235616, -122.91490523521246 44.982436557879794, -123.00313918296636 45.03477784624052))"
104983,"POLYGON ((-122.92022527287936 46.20164616327779, -122.97447026799655 46.196655887666054, -123.02871526311374 46.17978064691167, -123.03901494573093 46.14886889122934, -122.98751653264499 46.095088646632185, -122.92709172795749 46.07460980820268, -122.84126103948093 46.08651703470364, -122.86495030950046 46.1747883857263, -122.92022527287936 46.20164616327779))"
16187,"POLYGON ((-122.68413372406417 45.48796156204276, -122.52440281280929 45.487600526569246, -122.52714939484054 45.566491880815285, -122.59500228807623 45.59596376799455, -122.77117351016933 45.604287271619064, -122.72306167528326 45.53659617380395, -122.68688030609542 45.490970100998325, -122.68945522674971 45.51425075714064, -122.68726654419356 45.518069790366965, -122.68542118439132 45.52170815572035, -122.68615074524337 45.52294093689491, -122.6654440916484 45.52349718297098, -122.66918845543319 45.512769684354, -122.66730554470473 45.50954050982819, -122.67082594403678 45.507522651599494, -122.6740888513034 45.50514379801865, -122.6816003776496 45.505877860361416, -122.68880495870167 45.51121773481156, -122.68940057674104 45.514211522371156, -122.68913269111567 45.51141779550441, -122.68792066791707 45.4996006603795, -122.68679967218691 45.49065268421731, -122.68413372406417 45.48796156204276))"
104981,"POLYGON ((-122.66292635240818 45.65578863726249, -122.67047945299412 45.72869242261763, -122.65914980211521 45.75097624250678, -122.60065856463584 45.75118685473607, -122.56151977069052 45.6389591120319, -122.6381439294693 45.64797452208318, -122.66292635240818 45.65578863726249))"
